"scenario","shift_d_yr","year","expected_new_area_m2","cumulative_expected_area_m2","replicate_sd_m2","n_replicates"
"s0",0,2022,533.696569561722,533.696569561722,21.7790340401737,200
"s0",0,2023,537.074753412731,1070.77132297445,33.226800750268,200
"s0",0,2024,542.107027907963,1612.87835088242,40.9172102521324,200
"s0",0,2025,542.306918030699,2155.18526891311,46.8860868396828,200
"s0",0,2026,544.79057560246,2699.97584451557,53.1735108106794,200
"s0",0,2027,545.10040569241,3245.07625020798,58.8842089796323,200
"s0",0,2028,549.707921431049,3794.78417163904,65.3809945693725,200
"s0",0,2029,550.682394391554,4345.46656603059,67.1903948601117,200
"s0",0,2030,555.085011700165,4900.55157773075,69.6944212847203,200
"sm071",-0.71,2022,593.0994595854,593.0994595854,25.0376439310042,200
"sm071",-0.71,2023,603.06906333557,1196.16852292097,36.4686035916652,200
"sm071",-0.71,2024,615.987085426115,1812.15560834708,44.9681148800181,200
"sm071",-0.71,2025,627.066093566472,2439.22170191356,53.2444587491605,200
"sm071",-0.71,2026,638.564886048592,3077.78658796215,59.9009047654672,200
"sm071",-0.71,2027,647.864856633202,3725.65144459535,65.7649291651826,200
"sm071",-0.71,2028,655.205891850723,4380.85733644607,69.4660431971898,200
"sm071",-0.71,2029,667.869049638729,5048.7263860848,75.9922331592662,200
"sm071",-0.71,2030,681.201831450288,5729.92821753509,84.0775508897117,200
"sm224",-2.24,2022,661.96220421646,661.96220421646,26.2941180616037,200
"sm224",-2.24,2023,665.760131992581,1327.72233620904,36.0309546496414,200
"sm224",-2.24,2024,661.322522059857,1989.0448582689,44.7845334812258,200
"sm224",-2.24,2025,650.323457315808,2639.36831558471,55.3280576507682,200
"sm224",-2.24,2026,634.372060962625,3273.74037654733,61.7946798607078,200
"sm224",-2.24,2027,609.620433462166,3883.3608100095,67.3289356821332,200
"sm224",-2.24,2028,582.929835096742,4466.29064510624,71.178766522887,200
"sm224",-2.24,2029,547.578939352666,5013.86958445891,75.251342368787,200
"sm224",-2.24,2030,509.884313519707,5523.75389797861,80.8523503807666,200
