"scope","fold","n","auc","tss","threshold","variant"
"fold",1,13940,0.948359693564954,0.784884033662756,0.118671413527348,"primary"
"fold",2,17299,0.924945732637633,0.718702135770809,0.252620698852457,"primary"
"fold",3,13610,0.963210056977688,0.845284245765559,0.134024482870859,"primary"
"fold",4,17149,0.959000785481753,0.790117828184459,0.150479978522729,"primary"
"mean",NA,61998,0.948879067165507,0.784747060845896,NA,"primary"
"pooled",NA,61998,0.943792541652398,0.764946264118266,0.158378627850608,"primary"
"fold",1,6349,0.837334174414121,0.550815898429482,0.234044675286284,"cut2560"
"fold",2,11139,0.864937651969829,0.613795799502574,0.427612649741829,"cut2560"
"fold",3,4075,0.867535445023207,0.564902427055771,0.565294722690062,"cut2560"
"fold",4,6197,0.860123077102968,0.604200775736087,0.322565977916297,"cut2560"
"mean",NA,27760,0.857482587127531,0.583428725180978,NA,"cut2560"
"pooled",NA,27760,0.845874108227421,0.553164690598541,0.30204053549436,"cut2560"
