"variant","predictor","x","yhat"
"primary","TPI",-2.77960824966431,0.17373248076474
"primary","eastness",-0.999978482723236,0.179119516057272
"primary","northness",-0.998977601528168,0.153933773644134
"primary","eastness",-0.996917810042699,0.17909674935205
"primary","eastness",-0.993375424544017,0.179144731629795
"primary","eastness",-0.989097946882248,0.178925006836573
"primary","eastness",-0.983905780315399,0.178627881880961
"primary","eastness",-0.977554798126221,0.178232019415281
"primary","eastness",-0.971208119392395,0.17782298520601
"primary","eastness",-0.963442514340083,0.177091200547412
"primary","eastness",-0.9547900279363,0.176646640668795
"primary","eastness",-0.943972057104111,0.17617577628642
"primary","eastness",-0.932577073574066,0.175708170989625
"primary","eastness",-0.919735572735468,0.175174769047547
"primary","TPI",-0.912501156330109,0.172974914049969
"primary","eastness",-0.905280959606171,0.174781633380204
"primary","eastness",-0.88985183040301,0.174449608288609
"primary","eastness",-0.872945527235667,0.174081133313471
"primary","eastness",-0.854848057031631,0.173636414930421
"primary","eastness",-0.832637878259023,0.173172952217409
"primary","northness",-0.819454512993495,0.198963561487584
"primary","eastness",-0.810561621189117,0.172626796015533
"primary","eastness",-0.78225976228714,0.17179085919793
"primary","eastness",-0.758834201097488,0.171296507553726
"primary","eastness",-0.730987350145976,0.170647066472778
"primary","eastness",-0.692203110456467,0.169710558249571
"primary","northness",-0.681448940436045,0.19474788659301
"primary","TPI",-0.667447725931803,0.17272083216186
"primary","eastness",-0.651031676928202,0.168810298042464
"primary","eastness",-0.60776967406273,0.167534094846373
"primary","northness",-0.576996266841888,0.190207928602952
"primary","eastness",-0.55321317911148,0.165963304141163
"primary","TPI",-0.506427603960037,0.172848635019054
"primary","eastness",-0.487595766782761,0.164547726758066
"primary","northness",-0.466952653725942,0.183563156923182
"primary","TPI",-0.413779322306315,0.172802906143624
"primary","eastness",-0.399884202082951,0.163095330765788
"primary","northness",-0.357564985752106,0.177969542532117
"primary","TPI",-0.339982777833939,0.172785557451219
"primary","TPI",-0.287836939096451,0.172748916757988
"primary","eastness",-0.268344697356224,0.16106091620134
"primary","northness",-0.262964564561844,0.177503352966761
"primary","TPI",-0.241161813338598,0.172773070220888
"primary","TPI",-0.198954639832179,0.172739532252778
"primary","northness",-0.173642684022586,0.177311069796927
"primary","TPI",-0.162446123361588,0.172707854050131
"primary","TPI",-0.126298104723295,0.172733121989786
"primary","northness",-0.0975403646628062,0.176797832780599
"primary","TPI",-0.0920276815692584,0.172731786587333
"primary","TPI",-0.0636131837964058,0.172718829408926
"primary","eastness",-0.053929304828246,0.16131860602644
"primary","northness",-0.0354864787310362,0.176595507553942
"primary","TPI",-0.0328668187061944,0.172770673954807
