"variant","cutoff","suitable_area_m2"
"primary",0.1,272110.759280995
"primary",0.15,171600.538650688
"primary",0.2,136426.696145388
"primary",0.25,110838.635183866
"primary",0.3,89173.4379877647
"primary",0.35,70234.75259805
"primary",0.4,52237.5510512824
"primary",0.45,36780.9656663287
"primary",0.5,23548.1692334827
"primary",0.55,13158.8277025769
"primary",0.6,5520.99056278737
"primary",0.65,885.516470225863
"primary",0.7,0
"cut2560",0.1,266805.657615709
"cut2560",0.15,185827.784857285
"cut2560",0.2,149998.30097278
"cut2560",0.25,128040.263596111
"cut2560",0.3,111549.24936148
"cut2560",0.35,97573.8621114783
"cut2560",0.4,85321.5342708811
"cut2560",0.45,73965.7169482042
"cut2560",0.5,63229.5611058648
"cut2560",0.55,52860.2049990627
"cut2560",0.6,42868.64444109
"cut2560",0.65,33715.6289817497
"cut2560",0.7,25151.2933051345
