"section","model","scope","fold","n","auc","tss","threshold","distance_band_m","n_cells","observed_colonized_cells","observed_colonization_rate","predicted_mean_p9","absolute_error","criterion","primary_value","logdist_value","comparison_value","required_value","passed","verdict"
"blocked_metrics","primary","fold",1,255533,0.952137825055993,0.781942532954734,0.00274709413645479,,,,,,,,,,,,,
"blocked_metrics","primary","fold",2,309386,0.893068378896368,0.64211618770444,0.00867130308291302,,,,,,,,,,,,,
"blocked_metrics","primary","fold",3,289384,0.95886227219122,0.811486813272257,0.00204778632264824,,,,,,,,,,,,,
"blocked_metrics","primary","fold",4,343233,0.957008573097196,0.804543898646463,0.00324947515299973,,,,,,,,,,,,,
"blocked_metrics","primary","pooled",,1197536,0.936531971215812,0.744594762905848,0.00388401465388879,,,,,,,,,,,,,
"blocked_metrics","logdist","fold",1,255533,0.964203763049149,0.801301365355831,0.00330362588685671,,,,,,,,,,,,,
"blocked_metrics","logdist","fold",2,309386,0.909066714562144,0.677458740897124,0.00547465110190351,,,,,,,,,,,,,
"blocked_metrics","logdist","fold",3,289384,0.959895948221725,0.823664074306061,0.00298924352542827,,,,,,,,,,,,,
"blocked_metrics","logdist","fold",4,343233,0.957846095288332,0.77487868257099,0.00283554028253989,,,,,,,,,,,,,
"blocked_metrics","logdist","pooled",,1197536,0.946094871283811,0.751693314338137,0.00396058987270483,,,,,,,,,,,,,
"distance_band","primary",,,,,,,"[0,5)",25371,2408,0.0949115131449293,0.056995437140712,0.0379160760042172,,,,,,,
"distance_band","primary",,,,,,,"[5,10)",34853,507,0.0145468108914584,0.0278233462210354,0.013276535329577,,,,,,,
"distance_band","primary",,,,,,,"[10,20)",68719,410,0.00596632663455522,0.0133190584859305,0.00735273185137528,,,,,,,
"distance_band","primary",,,,,,,"[20,40)",122535,437,0.00356632798792182,0.00492503636606448,0.00135870837814267,,,,,,,
"distance_band","primary",,,,,,,"[40,80)",124517,254,0.0020398821044516,0.000939018507040303,0.0011008635974113,,,,,,,
"distance_band","primary",,,,,,,"[80,160)",122434,31,0.000253197641178104,9.9536903131923e-05,0.000153660738046181,,,,,,,
"distance_band","primary",,,,,,,">=160",699107,48,6.86590178613574e-05,4.48708137960504e-05,2.37882040653071e-05,,,,,,,
"distance_band","logdist",,,,,,,"[0,5)",25371,2408,0.0949115131449293,0.0997253840390982,0.00481387089416895,,,,,,,
"distance_band","logdist",,,,,,,"[5,10)",34853,507,0.0145468108914584,0.0117847671137584,0.00276204377769999,,,,,,,
"distance_band","logdist",,,,,,,"[10,20)",68719,410,0.00596632663455522,0.00506748156351802,0.000898845071037199,,,,,,,
"distance_band","logdist",,,,,,,"[20,40)",122535,437,0.00356632798792182,0.00381998898072225,0.000253660992800434,,,,,,,
"distance_band","logdist",,,,,,,"[40,80)",124517,254,0.0020398821044516,0.00208514094819015,4.5258843738545e-05,,,,,,,
"distance_band","logdist",,,,,,,"[80,160)",122434,31,0.000253197641178104,0.000294101625274588,4.09039840964843e-05,,,,,,,
"distance_band","logdist",,,,,,,">=160",699107,48,6.86590178613574e-05,6.0326449653854e-05,8.33256820750347e-06,,,,,,,
"decision",,,,,,,,,,,,,,"pooled_auc_degradation_le_0.005",0.936531971215812,0.946094871283811,-0.00956290006799887,0.005,TRUE,
"decision",,,,,,,,,,,,,,"front_abs_error_improvement_ge_0.30",0.0379160760042172,0.00481387089416895,0.873038789835912,0.3,TRUE,
"decision",,,,,,,,,,,,,,"mid_band_aggregate_not_worse",0.0206292671809523,0.00366088884873719,-0.0169683783322151,0,TRUE,
"decision",,,,,,,,,,,,,,"verdict",,,,,TRUE,"ADOPT"
