"context","legend_id","凡例名","area_m2","share_of_context_total","n_cells"
"analysis_domain",1,"イワイチョウ－ショウジョウスゲ群集",509350.527424932,0.422548239409592,509628
"analysis_domain",3,"コケモモ－ハイマツ群集",280345.61958605,0.232569795463176,280499
"analysis_domain",5,"ササ－ダケカンバ群落",7524.87394100428,0.00624250307862711,7529
"analysis_domain",6,"タカネヤハズハハコ－アオノツガザクラ群集",25794.1151750088,0.0213983442982388,25808
"analysis_domain",7,"タテヤマアザミ－ホソバトリカブト群集",97452.6588740349,0.0808450118647927,97506
"analysis_domain",8,"ダケカンバ群集",18489.8611781597,0.0153388636451557,18500
"analysis_domain",12,"ミヤマクワガタ－ウラジロタデ群集",220134.470717669,0.182619685318422,220256
"analysis_domain",14,"市街地",1503.17627972364,0.00124700860472378,1504
"analysis_domain",15,"自然裸地",44830.4445123076,0.0371905483172722,44855
"observed_colonization",1,"イワイチョウ－ショウジョウスゲ群集",2735.51799601316,0.66804967115815,2737
"observed_colonization",3,"コケモモ－ハイマツ群集",881.521688401699,0.215279254208459,882
"observed_colonization",6,"タカネヤハズハハコ－アオノツガザクラ群集",466.748677015305,0.113986199560018,467
"observed_colonization",7,"タテヤマアザミ－ホソバトリカブト群集",3.99780851602554,0.000976317709617168,4
"observed_colonization",12,"ミヤマクワガタ－ウラジロタデ群集",0.999450147151947,0.000244078943409228,1
"observed_colonization",15,"自然裸地",5.99672037363052,0.00146447842034667,6
