"scenario","legend_id","凡例名","expected_area_m2","share_of_scenario_total","n_cells"
"s0",1,"イワイチョウ－ショウジョウスゲ群集",1774.21390083531,0.730339424589024,315907
"s0",3,"コケモモ－ハイマツ群集",251.114054075931,0.103368874335664,47652
"s0",5,"ササ－ダケカンバ群落",0,0,14
"s0",6,"タカネヤハズハハコ－アオノツガザクラ群集",383.193813237398,0.157738336360748,19970
"s0",7,"タテヤマアザミ－ホソバトリカブト群集",18.8647406224214,0.00776550324891144,46506
"s0",8,"ダケカンバ群集",0.00499727118766446,2.05708238561082e-06,284
"s0",12,"ミヤマクワガタ－ウラジロタデ群集",0.814553596946144,0.000335303767494147,14173
"s0",14,"市街地",0,0,43
"s0",15,"自然裸地",1.09440135357377,0.000450500615772544,7135
"sm071",1,"イワイチョウ－ショウジョウスゲ群集",2499.69070014826,0.738991673980849,315907
"sm071",3,"コケモモ－ハイマツ群集",345.762908712024,0.10221901081379,47652
"sm071",5,"ササ－ダケカンバ群落",0,0,14
"sm071",6,"タカネヤハズハハコ－アオノツガザクラ群集",501.390328732194,0.148227650055119,19970
"sm071",7,"タテヤマアザミ－ホソバトリカブト群集",33.0470331924237,0.00976980167087126,46506
"sm071",8,"ダケカンバ群集",0.0199890859427507,5.90943834823416e-06,284
"sm071",12,"ミヤマクワガタ－ウラジロタデ群集",1.31927668543287,0.000390022047989423,14173
"sm071",14,"市街地",0,0,43
"sm071",15,"自然裸地",1.33926748530714,0.000395931993032796,7135
"sm224",1,"イワイチョウ－ショウジョウスゲ群集",3012.70269500827,0.747203985243094,315907
"sm224",3,"コケモモ－ハイマツ群集",392.747588404767,0.097408404664985,47652
"sm224",5,"ササ－ダケカンバ群落",0,0,14
"sm224",6,"タカネヤハズハハコ－アオノツガザクラ群集",567.090201777586,0.140648481332925,19970
"sm224",7,"タテヤマアザミ－ホソバトリカブト群集",56.3693730359201,0.0139806095861638,46506
"sm224",8,"ダケカンバ群集",0,0,284
"sm224",12,"ミヤマクワガタ－ウラジロタデ群集",1.80900813052785,0.000448666271221249,14173
"sm224",14,"市街地",0.00499727088964125,1.2394122826212e-06,43
"sm224",15,"自然裸地",1.24431976994157,0.00030861348932891,7135
"class2_domain",1,"イワイチョウ－ショウジョウスゲ群集",315821.296171963,0.699455743148722,315993
"class2_domain",3,"コケモモ－ハイマツ群集",47626.0339416265,0.105478330206486,47652
"class2_domain",5,"ササ－ダケカンバ群落",13.9923236966133,3.09890792299933e-05,14
"class2_domain",6,"タカネヤハズハハコ－アオノツガザクラ群集",19959.2586900592,0.0442041695381791,19970
"class2_domain",7,"タテヤマアザミ－ホソバトリカブト群集",46480.628697753,0.102941578297191,46506
"class2_domain",8,"ダケカンバ群集",283.844459652901,0.000628636003561536,284
"class2_domain",12,"ミヤマクワガタ－ウラジロタデ群集",14165.2192548513,0.0313719944818788,14173
"class2_domain",14,"市街地",42.9765288829803,9.51809783322209e-05,43
"class2_domain",15,"自然裸地",7131.09477460384,0.0157933782664188,7135
