"quantity","value","unit","note"
"n_pixels_with_trend",1206063,"pixels","DOY > 0, >= 8 valid years"
"pixel_slope_mean",-0.714634937479324,"days per year","per-pixel OLS snowmelt ~ year"
"pixel_slope_median",-0.626373626366163,"days per year","per-pixel OLS snowmelt ~ year"
"pixel_slope_sd",0.634447830110369,"days per year","per-pixel OLS snowmelt ~ year"
"pixel_slope_ci95_lower",-0.715767232105373,"days per year","descriptive CI of the mean pixel slope; pixels are not independent"
"pixel_slope_ci95_upper",-0.713502642853276,"days per year","descriptive CI of the mean pixel slope; pixels are not independent"
"pixel_slope_pct_negative",91.6543331484342,"percent","sign of the per-pixel slope"
"pixel_slope_pct_positive",8.28845590984882,"percent","sign of the per-pixel slope"
"pixel_slope_pct_zero",0.057210941716975,"percent","sign of the per-pixel slope"
"pixel_slope_pct_p_lt_0.05",1.9615355589999,"percent","uncorrected per-pixel t test"
"pixel_slope_pct_BH_q_lt_0.05",0,"percent","Benjamini-Hochberg FDR across pixels"
"landscape_slope",-0.688461660254966,"days per year","OLS of the 10 annual spatial means on year (n = 10)"
"landscape_slope_se",0.674759784078023,"days per year","OLS of the 10 annual spatial means on year (n = 10)"
"landscape_t",-1.02030630233197,"","OLS of the 10 annual spatial means on year (n = 10)"
"landscape_p",0.33744347622195,"","OLS of the 10 annual spatial means on year (n = 10)"
"landscape_ci95_lower",-2.24446051260836,"days per year","OLS of the 10 annual spatial means on year (n = 10)"
"landscape_ci95_upper",0.867537192098423,"days per year","OLS of the 10 annual spatial means on year (n = 10)"
"n_years",10,"years","years with usable imagery"
"year_missing",2019,"year","camera not operated (lodge construction)"
"doy_min_observed",2,"DOY","acquisition window censors DOY to about [120, 230]"
"doy_max_observed",232,"DOY","acquisition window censors DOY to about [120, 230]"
