,u,v,x,y,z
0,874,993,734261.125,4051747.5,2801.876220703125
1,929,994,734280.6875,4051734.0,2806.32666015625
2,3805,615,734136.625,4050607.0,2943.086181640625
3,3566,633,734078.125,4050727.25,2913.208251953125
5,3494,687,733957.0,4050792.5,2853.404541015625
7,1981,718,734478.875,4051338.0,2982.10595703125
8,2346,719,734319.375,4051174.25,2937.789794921875
9,2855,732,734278.4375,4050965.25,2926.30859375
10,1896,826,734378.125,4051366.25,2903.971435546875
11,2661,828,734204.3125,4051052.25,2863.558837890625
12,4321,834,733867.375,4050544.25,2788.936767578125
13,2619,845,734189.1875,4051069.5,2852.07373046875
14,3376,875,733837.8125,4050867.0,2755.7333984375
15,226,889,734236.4375,4051972.75,2832.52197265625
16,4434,898,733821.9375,4050532.0,2756.98486328125
17,4399,898,733824.75,4050542.25,2756.630126953125
18,4333,904,733824.375,4050564.75,2754.30224609375
19,4350,905,733821.5,4050560.75,2753.116455078125
20,221,906,734222.9375,4051968.25,2823.427734375
21,120,911,734193.5625,4051986.75,2812.377685546875
22,231,915,734220.0,4051962.75,2818.920654296875
24,182,924,734196.0,4051967.25,2809.6435546875
25,330,928,734243.5,4051939.0,2820.4169921875
26,344,933,734243.5625,4051935.25,2818.7041015625
27,308,945,734223.375,4051938.25,2809.02001953125
29,350,949,734235.125,4051928.5,2810.703369140625
30,259,951,734202.5625,4051944.25,2801.694091796875
31,333,954,734226.4375,4051930.5,2806.427001953125
32,346,960,734225.625,4051925.5,2803.839599609375
33,385,966,734232.1875,4051915.0,2803.869384765625
34,2455,966,734075.3125,4051136.25,2776.8076171875
35,367,971,734224.8125,4051917.75,2799.542236328125
36,931,977,734311.25,4051744.75,2819.277099609375
37,874,977,734280.6875,4051755.0,2812.233642578125
38,404,979,734228.1875,4051906.5,2797.759521484375
39,860,979,734275.375,4051758.5,2810.515625
40,467,986,734235.375,4051886.75,2796.978759765625
42,867,995,734255.5625,4051748.25,2799.45947265625
43,445,999,734223.25,4051889.5,2789.108642578125
44,4157,1000,733780.625,4050646.25,2711.7939453125
45,852,1003,734246.1875,4051750.0,2794.345458984375
46,874,1004,734252.0,4051744.5,2795.79150390625
47,474,1006,734222.625,4051879.0,2786.7119140625
48,698,1008,734243.75,4051806.5,2791.939453125
49,4796,1011,733762.375,4050449.0,2710.74072265625
50,5406,1024,733642.875,4050353.5,2683.62060546875
51,1309,1036,734354.4375,4051605.0,2806.00439453125
52,683,1037,734221.1875,4051803.0,2776.161376953125
53,4485,1037,733742.625,4050563.5,2695.420166015625
54,1144,1040,734334.25,4051666.0,2800.007568359375
55,288,1042,734153.5625,4051909.5,2757.427734375
56,1122,1051,734321.6875,4051671.5,2792.14501953125
57,685,1052,734210.25,4051799.0,2767.09521484375
58,253,1064,734120.75,4051905.0,2743.68310546875
59,1165,1063,734322.25,4051654.75,2787.9921875
60,1037,1067,734288.0625,4051694.75,2779.56494140625
61,4505,1075,733722.0,4050570.5,2680.33154296875
62,4840,1075,733712.5,4050472.0,2680.899658203125
63,3713,1078,733716.9375,4050807.75,2671.5234375
64,840,1093,734181.4375,4051730.5,2748.2392578125
65,810,1094,734172.0,4051737.75,2744.420166015625
66,3335,1098,733704.9375,4050917.25,2660.591552734375
67,1140,1099,734292.625,4051655.75,2767.69775390625
68,3332,1106,733700.25,4050918.5,2657.635498046875
69,3335,1116,733695.375,4050919.5,2653.930908203125
70,1117,1117,734279.0625,4051660.5,2758.116943359375
71,4512,1127,733696.1875,4050584.5,2660.68310546875
72,561,1129,734159.4375,4051819.75,2728.452880859375
73,1405,1128,734208.125,4051531.25,2740.8515625
74,523,1154,734137.4375,4051822.5,2716.02197265625
75,2429,1156,733901.625,4051149.25,2676.398681640625
76,1084,1162,734227.375,4051656.5,2731.65478515625
77,208,1170,734051.3125,4051882.75,2696.359375
78,904,1194,734144.75,4051693.5,2702.604736328125
79,1100,1217,734189.9375,4051638.5,2703.8056640625
80,312,1486,733912.0625,4051780.25,2575.955810546875
81,268,1570,733866.5625,4051768.75,2547.6572265625
82,534,1654,733853.4375,4051690.25,2523.083984375
83,3637,651,734065.1875,4050704.5,2903.459716796875
87,3744,726,733976.0625,4050697.0,2849.572021484375
88,2854,732,734277.6875,4050965.5,2925.696044921875
