variant,class_ja,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,support_per_fold_mean,support_total
2012,ササ,0.8956,0.114,0.8946,0.121,0.8951,0.1173,6418.8,32094.0
2012,その他植生,0.9848,0.0043,0.9607,0.063,0.9717,0.0336,57373.8,286869.0
2012,無植生,0.9565,0.0759,0.9871,0.0154,0.97,0.0387,6030.0,30150.0
2012,ナナカマド,0.9625,0.0181,0.9428,0.0373,0.9521,0.02,5267.0,26335.0
2012,ダケカンバ,0.8295,0.1278,0.8743,0.0725,0.8419,0.0496,2551.6,12758.0
2012,ミヤマハンノキ,0.9409,0.0438,0.9712,0.0184,0.9554,0.0264,9626.0,48130.0
2012,ハイマツ,0.9208,0.0984,0.9528,0.0286,0.9344,0.0596,16238.2,81191.0
2012,macro avg,0.9272,0.0614,0.9405,0.0158,0.9315,0.0418,103505.4,517527.0
2012,weighted avg,0.9585,0.0322,0.9548,0.0401,0.9553,0.0389,103505.4,517527.0
2012_5x5,ササ,0.9671,0.006,0.9534,0.0054,0.9602,0.002,7679.2,38396.0
2012_5x5,その他植生,0.9879,0.0023,0.9927,0.0013,0.9903,0.0011,67887.8,339439.0
2012_5x5,無植生,0.9787,0.0045,0.975,0.0043,0.9768,0.0016,8126.4,40632.0
2012_5x5,ナナカマド,0.9723,0.0038,0.9759,0.0048,0.9741,0.0018,5856.4,29282.0
2012_5x5,ダケカンバ,0.9708,0.0128,0.9352,0.0175,0.9525,0.0067,2551.6,12758.0
2012_5x5,ミヤマハンノキ,0.9838,0.0047,0.9702,0.0107,0.977,0.004,9626.0,48130.0
2012_5x5,ハイマツ,0.9719,0.0026,0.9723,0.0015,0.9721,0.0017,21875.0,109375.0
2012_5x5,macro avg,0.9761,0.0021,0.9678,0.0035,0.9719,0.0024,123602.4,618012.0
2012_5x5,weighted avg,0.9818,0.0015,0.9818,0.0015,0.9817,0.0015,123602.4,618012.0
2012_composite,ササ,0.9507,0.0066,0.9462,0.0075,0.9484,0.002,6418.8,32094.0
2012_composite,その他植生,0.9839,0.0022,0.9939,0.0009,0.9889,0.0013,57373.8,286869.0
2012_composite,無植生,0.9882,0.0048,0.9879,0.0027,0.988,0.0026,6030.0,30150.0
2012_composite,ナナカマド,0.9809,0.0032,0.951,0.0019,0.9657,0.0017,5267.0,26335.0
2012_composite,ダケカンバ,0.9626,0.008,0.9129,0.0159,0.937,0.009,2551.6,12758.0
2012_composite,ミヤマハンノキ,0.9789,0.0031,0.9801,0.0016,0.9795,0.002,9626.0,48130.0
2012_composite,ハイマツ,0.9757,0.0035,0.9594,0.0062,0.9674,0.0019,16238.2,81191.0
2012_composite,macro avg,0.9744,0.0017,0.9616,0.0024,0.9679,0.0017,103505.4,517527.0
2012_composite,weighted avg,0.9797,0.0013,0.9797,0.0013,0.9796,0.0013,103505.4,517527.0
2012_composite_5x5,ササ,0.9656,0.0076,0.967,0.0087,0.9662,0.0041,8729.0,43645.0
2012_composite_5x5,その他植生,0.9925,0.0017,0.9945,0.0014,0.9935,0.0004,61776.8,308884.0
2012_composite_5x5,無植生,0.9874,0.0031,0.9861,0.0032,0.9867,0.0025,6752.4,33762.0
2012_composite_5x5,ナナカマド,0.9818,0.0035,0.9785,0.0076,0.9801,0.0021,5856.4,29282.0
2012_composite_5x5,ダケカンバ,0.9726,0.0164,0.9607,0.0126,0.9664,0.0055,2551.6,12758.0
2012_composite_5x5,ミヤマハンノキ,0.991,0.0024,0.9856,0.004,0.9883,0.0019,9626.0,48130.0
2012_composite_5x5,ハイマツ,0.9826,0.0072,0.9815,0.0035,0.9821,0.0025,22682.8,113414.0
2012_composite_5x5,macro avg,0.9819,0.003,0.9791,0.0021,0.9805,0.0013,117975.0,589875.0
2012_composite_5x5,weighted avg,0.9872,0.0008,0.9872,0.0008,0.9872,0.0008,117975.0,589875.0
2012_normalized,ササ,0.912,0.0288,0.9118,0.0157,0.9116,0.0161,6418.8,32094.0
2012_normalized,その他植生,0.9707,0.0109,0.9879,0.0024,0.9792,0.0051,57373.8,286869.0
2012_normalized,無植生,0.971,0.0035,0.9795,0.0103,0.9752,0.0054,6030.0,30150.0
2012_normalized,ナナカマド,0.9691,0.0078,0.9519,0.005,0.9604,0.0018,5267.0,26335.0
2012_normalized,ダケカンバ,0.7289,0.4083,0.6766,0.3786,0.7014,0.3922,2551.6,12758.0
2012_normalized,ミヤマハンノキ,0.9539,0.0201,0.9477,0.0223,0.9505,0.0099,9626.0,48130.0
2012_normalized,ハイマツ,0.9555,0.0074,0.9394,0.0102,0.9474,0.0068,16238.2,81191.0
2012_normalized,macro avg,0.923,0.062,0.9135,0.0505,0.918,0.056,103505.4,517527.0
2012_normalized,weighted avg,0.9571,0.0171,0.9618,0.0068,0.9593,0.012,103505.4,517527.0
2015,ササ,0.9311,0.0522,0.9318,0.073,0.9297,0.047,6418.8,32094.0
2015,その他植生,0.983,0.0093,0.978,0.0209,0.9804,0.0093,57373.8,286869.0
2015,無植生,0.9643,0.067,0.9769,0.0281,0.9693,0.0363,6030.0,30150.0
2015,ナナカマド,0.9547,0.0459,0.9359,0.0794,0.9424,0.0359,5267.0,26335.0
2015,ダケカンバ,0.902,0.0832,0.8851,0.096,0.89,0.0687,2551.6,12758.0
2015,ミヤマハンノキ,0.972,0.027,0.9526,0.0218,0.9619,0.0132,9626.0,48130.0
2015,ハイマツ,0.9462,0.0554,0.9702,0.0179,0.9575,0.0342,16238.2,81191.0
2015,macro avg,0.9505,0.0219,0.9472,0.0215,0.9473,0.0171,103505.4,517527.0
2015,weighted avg,0.9685,0.0131,0.9671,0.0146,0.9671,0.0144,103505.4,517527.0
2015_normalized,ササ,0.9272,0.0052,0.9318,0.0124,0.9294,0.0047,6418.8,32094.0
2015_normalized,その他植生,0.9705,0.014,0.988,0.0006,0.9791,0.0069,57373.8,286869.0
2015_normalized,無植生,0.9569,0.0061,0.9711,0.0137,0.9639,0.0061,6030.0,30150.0
2015_normalized,ナナカマド,0.9695,0.006,0.9667,0.0058,0.9681,0.002,5267.0,26335.0
2015_normalized,ダケカンバ,0.7685,0.4297,0.7333,0.4099,0.7504,0.4195,2551.6,12758.0
2015_normalized,ミヤマハンノキ,0.9503,0.0095,0.9225,0.0114,0.9361,0.0039,9626.0,48130.0
2015_normalized,ハイマツ,0.9582,0.0061,0.9425,0.0053,0.9502,0.0027,16238.2,81191.0
2015_normalized,macro avg,0.9287,0.0638,0.9223,0.0562,0.9253,0.06,103505.4,517527.0
2015_normalized,weighted avg,0.9582,0.0188,0.9629,0.0085,0.9604,0.0137,103505.4,517527.0
2021,ササ,0.8749,0.1029,0.9279,0.0635,0.8988,0.074,6418.8,32094.0
2021,その他植生,0.9651,0.0223,0.9607,0.0458,0.9621,0.0203,57373.8,286869.0
2021,無植生,0.9489,0.0792,0.9775,0.0434,0.9607,0.0428,6030.0,30150.0
2021,ナナカマド,0.8902,0.0609,0.7503,0.1994,0.8016,0.1299,5267.0,26335.0
2021,ダケカンバ,0.8712,0.1278,0.7896,0.2014,0.818,0.154,2551.6,12758.0
2021,ミヤマハンノキ,0.8587,0.12,0.9101,0.0505,0.8805,0.0793,9626.0,48130.0
2021,ハイマツ,0.9622,0.0336,0.9522,0.0269,0.9569,0.0243,16238.2,81191.0
2021,macro avg,0.9102,0.0358,0.8955,0.0371,0.8969,0.0275,103505.4,517527.0
2021,weighted avg,0.9421,0.0189,0.9387,0.0239,0.938,0.0226,103505.4,517527.0
2021_5x5,ササ,0.9577,0.0047,0.9524,0.0081,0.955,0.0024,7679.2,38396.0
2021_5x5,その他植生,0.9869,0.001,0.9888,0.0008,0.9878,0.0007,67887.8,339439.0
2021_5x5,無植生,0.9684,0.0118,0.9739,0.0093,0.9711,0.0042,8126.4,40632.0
2021_5x5,ナナカマド,0.9445,0.0073,0.9378,0.012,0.9411,0.0058,5856.4,29282.0
2021_5x5,ダケカンバ,0.9472,0.0178,0.8965,0.0137,0.9209,0.0075,2551.6,12758.0
2021_5x5,ミヤマハンノキ,0.9631,0.0061,0.9466,0.0068,0.9547,0.0039,9626.0,48130.0
2021_5x5,ハイマツ,0.9632,0.0053,0.9722,0.0052,0.9677,0.0009,21875.0,109375.0
2021_5x5,macro avg,0.9616,0.0024,0.9526,0.0036,0.9569,0.0011,123602.4,618012.0
2021_5x5,weighted avg,0.975,0.0006,0.975,0.0006,0.975,0.0006,123602.4,618012.0
2021_composite,ササ,0.9445,0.0132,0.9668,0.003,0.9554,0.0069,6418.8,32094.0
2021_composite,その他植生,0.9845,0.003,0.9913,0.0019,0.9879,0.0011,57373.8,286869.0
2021_composite,無植生,0.9737,0.0103,0.9829,0.0042,0.9782,0.0054,6030.0,30150.0
2021_composite,ナナカマド,0.9507,0.015,0.9206,0.0166,0.9352,0.0051,5267.0,26335.0
2021_composite,ダケカンバ,0.9569,0.016,0.8664,0.0261,0.9091,0.0138,2551.6,12758.0
2021_composite,ミヤマハンノキ,0.9647,0.0117,0.9637,0.0087,0.9641,0.0025,9626.0,48130.0
2021_composite,ハイマツ,0.9766,0.0022,0.9648,0.0045,0.9707,0.0024,16238.2,81191.0
2021_composite,macro avg,0.9645,0.0045,0.9509,0.005,0.9572,0.0035,103505.4,517527.0
2021_composite,weighted avg,0.9759,0.0015,0.9759,0.0015,0.9758,0.0015,103505.4,517527.0
2021_composite_5x5,ササ,0.9641,0.0082,0.9657,0.0061,0.9649,0.0016,8729.0,43645.0
2021_composite_5x5,その他植生,0.9897,0.0021,0.9928,0.0013,0.9913,0.0007,61776.8,308884.0
2021_composite_5x5,無植生,0.9756,0.0115,0.9761,0.0046,0.9758,0.0054,6752.4,33762.0
2021_composite_5x5,ナナカマド,0.9632,0.0158,0.9597,0.0162,0.9612,0.0031,5856.4,29282.0
