year,class,support,precision,recall,f1
2012,Sasa spp.,38396,0.9775334481388264,0.9609594749453068,0.9691756084107117
2012,Other vegetation,339439,0.9898310351296844,0.9947796216698729,0.9922991587995446
2012,Non-vegetated,40632,0.9814641129430348,0.9786621382161843,0.9800611228865777
2012,Sorbus spp.,29282,0.9771160832512817,0.9828222115975684,0.9799608410658041
2012,Acer tschonoskii,12758,0.984548175713939,0.9539112713591472,0.9689876189338748
2012,Alnus alnobetula,48130,0.9879533270261747,0.9763557033035529,0.982120277966456
2012,Pinus pumila,109375,0.978505254677945,0.9772617142857143,0.9778830891400707
2012,OVERALL,618012,nan,0.9856734173446471,nan
2021,Sasa spp.,38396,0.9688420277660917,0.959657255964163,0.9642277699272518
2021,Other vegetation,339439,0.9886629904335723,0.9919455336599506,0.9903015419004272
2021,Non-vegetated,40632,0.9727048960592694,0.9823045875172278,0.977481173085165
2021,Sorbus spp.,29282,0.9581079684431736,0.949764360357899,0.953917920046648
2021,Acer tschonoskii,12758,0.9662352745976439,0.9129173851700894,0.9388199258423343
2021,Alnus alnobetula,48130,0.9728799881071208,0.9517972158736755,0.9622231324238318
2021,Pinus pumila,109375,0.9696678250297152,0.9770971428571429,0.9733683079221087
2021,OVERALL,618012,nan,0.9799211018556274,nan
