variant,fold,epochs_run,best_epoch,best_val_loss,final_val_loss,final_train_loss
2012,fold_0,200,183,1.285616,1.313499,1.180577
2012,fold_1,200,171,1.194345,1.19905,1.181192
2012,fold_2,200,193,1.19015,1.193869,1.180866
2012,fold_3,200,197,1.211193,1.223926,1.182123
2012,fold_4,200,192,1.202721,1.211796,1.184335
2012_5x5,fold_0,50,48,1.185468,1.194761,1.183309
2012_5x5,fold_1,50,49,1.188864,1.190555,1.18451
2012_5x5,fold_2,50,50,1.187942,1.187942,1.18466
2012_5x5,fold_3,50,39,1.189071,1.192269,1.184962
2012_5x5,fold_4,50,50,1.188063,1.188063,1.184211
2012_composite,fold_0,100,94,1.191231,1.194782,1.188163
2012_composite,fold_1,100,99,1.191832,1.193635,1.187903
2012_composite,fold_2,100,81,1.192421,1.193745,1.18868
2012_composite,fold_3,100,86,1.192433,1.197604,1.190034
2012_composite,fold_4,100,90,1.189241,1.189574,1.185749
2012_composite_5x5,fold_0,100,97,1.178751,1.182823,1.179188
2012_composite_5x5,fold_1,100,98,1.179709,1.184409,1.179729
2012_composite_5x5,fold_2,100,99,1.17794,1.1791,1.178844
2012_composite_5x5,fold_3,100,88,1.177804,1.185731,1.178606
2012_composite_5x5,fold_4,100,88,1.178352,1.179911,1.178603
2012_normalized,fold_0,100,96,1.203299,1.208881,1.19915
2012_normalized,fold_1,100,98,1.206855,1.207383,1.204008
2012_normalized,fold_2,100,100,1.213497,1.213497,1.205349
2012_normalized,fold_3,100,91,1.207071,1.209712,1.202872
2012_normalized,fold_4,100,98,1.221774,1.221934,1.217723
2015,fold_0,200,115,1.223492,1.242387,1.176163
2015,fold_1,200,91,1.187132,1.193137,1.17824
2015,fold_2,200,185,1.1942,1.201917,1.17879
2015,fold_3,200,154,1.207651,1.216481,1.179318
2015,fold_4,200,18,1.210106,1.247597,1.177741
2015_normalized,fold_0,100,77,1.208155,1.209595,1.200758
2015_normalized,fold_1,100,94,1.206755,1.207779,1.202081
2015_normalized,fold_2,100,90,1.224119,1.224239,1.219946
2015_normalized,fold_3,100,80,1.206136,1.211707,1.200906
2015_normalized,fold_4,100,94,1.207995,1.212214,1.202047
2021,fold_0,200,83,1.27014,1.284396,1.187198
2021,fold_1,200,62,1.217026,1.232559,1.194715
2021,fold_2,200,137,1.221265,1.225772,1.188409
2021,fold_3,200,183,1.212091,1.214125,1.191567
2021,fold_4,200,175,1.241463,1.251518,1.186296
2021_5x5,fold_0,50,47,1.195393,1.197045,1.192494
2021_5x5,fold_1,50,45,1.19493,1.196427,1.192199
2021_5x5,fold_2,50,49,1.193827,1.194898,1.190785
2021_5x5,fold_3,50,50,1.194141,1.194141,1.19168
2021_5x5,fold_4,50,38,1.195107,1.200637,1.192286
2021_composite,fold_0,100,93,1.196881,1.200876,1.193266
2021_composite,fold_1,100,83,1.194066,1.203039,1.191541
2021_composite,fold_2,100,100,1.196777,1.196777,1.192783
2021_composite,fold_3,100,95,1.194808,1.196297,1.191453
2021_composite,fold_4,100,86,1.193822,1.200756,1.191057
2021_composite_5x5,fold_0,100,94,1.183919,1.187357,1.185088
2021_composite_5x5,fold_1,100,89,1.183827,1.185024,1.184771
2021_composite_5x5,fold_2,100,95,1.183264,1.193782,1.184494
2021_composite_5x5,fold_3,100,87,1.182757,1.185461,1.183867
2021_composite_5x5,fold_4,100,100,1.184025,1.184025,1.183906
2021_normalized,fold_0,100,93,1.227039,1.227162,1.221773
2021_normalized,fold_1,100,97,1.22228,1.227831,1.219641
2021_normalized,fold_2,100,96,1.239958,1.243443,1.237225
2021_normalized,fold_3,100,100,1.2265,1.2265,1.222405
2021_normalized,fold_4,100,73,1.225771,1.231765,1.221429
