variant,published,n_folds,agree_full,agree_inmask
2012,2012,5,99.9663,100.0
2012,2021,5,92.2505,86.2268
2012_5x5,2012,5,94.2589,89.8125
2012_5x5,2021,5,91.8239,85.4654
2012_composite,2012,5,93.2214,87.9607
2012_composite,2021,5,91.1135,84.1974
2012_composite_5x5,2012,5,92.2002,86.1379
2012_composite_5x5,2021,5,90.6912,83.4435
2012_normalized,2012,5,94.1416,89.6031
2012_normalized,2021,5,91.1218,84.2122
2015,2012,5,94.4572,90.1666
2015,2021,5,93.288,88.0787
2015_normalized,2012,5,91.5582,84.9919
2015_normalized,2021,5,90.895,83.8074
2021,2012,5,92.2499,86.2267
2021,2021,5,99.9667,99.9999
2021_5x5,2012,5,92.2229,86.1784
2021_5x5,2021,5,94.2942,89.8747
2021_composite,2012,5,90.806,83.6493
2021_composite,2021,5,92.8278,87.2573
2021_composite_5x5,2012,5,90.8434,83.716
2021_composite_5x5,2021,5,92.4852,86.6458
2021_normalized,2012,5,90.0582,82.3146
2021_normalized,2021,5,92.7057,87.0393
