x,y,z,u,v,dist,gsd,visible,change
733927.50,4051862.75,2627.16,42,1320,1392.4,0.366,1,gain
733928.50,4051862.75,2627.69,44,1318,1393.3,0.366,1,gain
733929.50,4051862.75,2628.14,46,1317,1394.2,0.366,1,gain
733928.50,4051861.75,2627.25,48,1320,1392.8,0.366,1,gain
733929.50,4051861.75,2627.86,50,1318,1393.7,0.366,1,gain
733952.50,4051861.75,2641.93,96,1282,1415.3,0.372,1,gain
733953.50,4051861.75,2641.95,98,1283,1416.1,0.372,1,gain
733954.50,4051861.75,2641.95,100,1283,1417.0,0.372,1,gain
733931.50,4051859.75,2629.07,61,1315,1394.6,0.366,1,gain
733936.50,4051854.75,2628.62,89,1319,1396.4,0.367,1,gain
733937.50,4051853.75,2628.52,95,1320,1396.7,0.367,1,gain
733939.50,4051850.75,2628.90,110,1319,1397.0,0.367,1,gain
733941.50,4051848.75,2628.32,121,1322,1397.7,0.367,1,gain
734102.50,4051809.75,2684.99,514,1224,1529.9,0.402,1,gain
733798.50,4051789.75,2541.80,42,1573,1236.7,0.325,1,gain
733799.50,4051788.75,2540.72,49,1577,1237.0,0.325,1,gain
733730.50,4051740.75,2461.62,91,1872,1150.5,0.302,1,gain
733938.50,4051734.75,2582.70,513,1470,1338.4,0.352,0,gain
733918.50,4051727.75,2573.12,506,1495,1316.6,0.346,1,gain
733919.50,4051727.75,2573.88,507,1493,1317.5,0.346,1,gain
733771.50,4051700.75,2506.83,343,1694,1168.6,0.307,1,gain
733778.50,4051697.75,2507.61,369,1692,1173.5,0.308,1,gain
733777.50,4051696.75,2506.46,371,1696,1172.1,0.308,1,gain
733778.50,4051696.75,2507.03,373,1694,1173.1,0.308,1,gain
733875.50,4051665.75,2517.69,657,1671,1248.3,0.328,1,gain
733662.50,4051653.75,2473.70,308,1814,1049.3,0.276,1,gain
733660.50,4051652.75,2473.90,308,1813,1047.0,0.275,1,gain
733661.50,4051652.75,2474.46,310,1811,1047.9,0.275,1,gain
733662.50,4051652.75,2474.61,312,1810,1048.8,0.276,1,gain
733657.50,4051651.75,2471.26,305,1824,1043.9,0.274,1,gain
733658.50,4051651.75,2471.97,308,1821,1044.8,0.275,0,gain
733659.50,4051651.75,2473.80,310,1813,1045.7,0.275,1,gain
733660.50,4051651.75,2474.26,312,1811,1046.6,0.275,1,gain
733661.50,4051651.75,2474.62,314,1810,1047.5,0.275,1,gain
733657.50,4051650.75,2471.44,310,1823,1043.4,0.274,1,gain
733658.50,4051650.75,2472.17,312,1820,1044.3,0.274,1,gain
733659.50,4051650.75,2474.04,314,1812,1045.2,0.275,1,gain
733660.50,4051650.75,2474.42,316,1810,1046.1,0.275,1,gain
733661.50,4051650.75,2474.67,319,1809,1047.0,0.275,1,gain
733657.50,4051649.75,2471.56,314,1823,1043.0,0.274,1,gain
733658.50,4051649.75,2472.27,317,1820,1043.9,0.274,1,gain
733659.50,4051649.75,2473.83,319,1813,1044.8,0.275,1,gain
733660.50,4051649.75,2474.43,321,1810,1045.7,0.275,1,gain
733661.50,4051649.75,2474.97,323,1808,1046.6,0.275,1,gain
733657.50,4051648.75,2471.62,319,1822,1042.5,0.274,1,gain
733658.50,4051648.75,2472.28,321,1819,1043.4,0.274,1,gain
733659.50,4051648.75,2473.82,323,1813,1044.3,0.274,1,gain
733537.50,4051639.75,2450.28,44,1926,932.9,0.245,1,gain
733562.50,4051621.75,2460.42,209,1871,945.8,0.249,1,gain
733563.50,4051621.75,2461.03,212,1868,946.7,0.249,1,gain
733564.50,4051621.75,2461.35,215,1867,947.6,0.249,1,gain
733565.50,4051621.75,2461.91,217,1864,948.5,0.249,1,gain
733566.50,4051621.75,2462.41,220,1862,949.3,0.249,1,gain
733574.50,4051620.75,2467.28,246,1838,956.0,0.251,1,gain
733569.50,4051619.75,2462.71,238,1860,951.0,0.250,1,gain
733570.50,4051619.75,2463.62,241,1856,951.9,0.250,1,gain
733573.50,4051618.75,2466.02,253,1844,954.1,0.251,1,gain
733574.50,4051618.75,2466.02,256,1844,955.0,0.251,1,gain
733575.50,4051618.75,2466.67,258,1841,955.9,0.251,1,gain
733576.50,4051618.75,2467.44,261,1837,956.8,0.251,1,gain
733556.50,4051617.75,2455.17,214,1896,938.6,0.247,1,gain
733586.50,4051613.75,2472.08,311,1815,963.4,0.253,1,gain
733587.50,4051613.75,2471.71,313,1817,964.3,0.253,1,gain
733588.50,4051613.75,2471.41,316,1819,965.1,0.254,1,gain
733586.50,4051612.75,2472.26,316,1814,962.9,0.253,1,gain
733587.50,4051612.75,2472.19,318,1815,963.8,0.253,1,gain
733588.50,4051612.75,2471.99,321,1816,964.7,0.253,1,gain
733570.50,4051611.75,2461.23,281,1866,948.2,0.249,1,gain
733586.50,4051611.75,2472.23,320,1815,962.5,0.253,1,gain
733587.50,4051611.75,2472.37,323,1814,963.4,0.253,1,gain
733588.50,4051611.75,2472.40,325,1814,964.2,0.253,1,gain
733572.50,4051609.75,2463.40,296,1855,949.0,0.249,1,gain
733583.50,4051609.75,2470.12,323,1824,958.9,0.252,1,gain
734038.50,4051607.75,2602.99,1049,1440,1386.1,0.364,1,gain
733599.50,4051593.75,2477.83,438,1788,966.1,0.254,1,gain
733600.50,4051593.75,2478.31,440,1786,967.0,0.254,1,gain
733615.50,4051582.75,2486.88,524,1748,976.1,0.256,1,gain
733814.50,4051582.75,2536.13,867,1592,1161.7,0.305,0,gain
733815.50,4051582.75,2536.13,868,1592,1162.7,0.306,1,gain
733816.50,4051582.75,2537.06,869,1589,1163.7,0.306,1,gain
733814.50,4051581.75,2536.32,870,1591,1161.4,0.305,0,gain
733815.50,4051581.75,2536.32,872,1591,1162.3,0.305,0,gain
733814.50,4051580.75,2535.36,874,1594,1161.0,0.305,0,gain
733618.50,4051579.75,2490.33,544,1733,977.6,0.257,1,gain
733816.50,4051579.75,2537.74,881,1586,1162.6,0.306,0,gain
733619.50,4051578.75,2490.94,550,1731,978.1,0.257,1,gain
733815.50,4051578.75,2536.17,883,1592,1161.3,0.305,0,gain
733817.50,4051578.75,2538.75,886,1583,1163.3,0.306,1,gain
733624.50,4051572.75,2494.07,588,1717,980.3,0.258,1,gain
733477.50,4051569.75,2444.78,244,1952,846.4,0.222,1,gain
733478.50,4051569.75,2444.78,247,1952,847.3,0.223,1,gain
733634.50,4051569.75,2500.45,621,1691,988.5,0.260,1,gain
733625.50,4051567.75,2495.90,613,1709,979.3,0.257,1,gain
733638.50,4051567.75,2502.30,638,1684,991.4,0.261,1,gain
733640.50,4051566.75,2503.86,646,1677,992.9,0.261,1,gain
733640.50,4051565.75,2503.95,651,1677,992.5,0.261,1,gain
733643.50,4051565.75,2505.36,656,1672,995.4,0.262,1,gain
733642.50,4051558.75,2505.95,685,1669,991.7,0.261,1,gain
733643.50,4051558.75,2506.38,687,1667,992.6,0.261,1,gain
733644.50,4051558.75,2506.38,689,1667,993.6,0.261,1,gain
733641.50,4051557.75,2505.86,688,1669,990.4,0.260,1,gain
733642.50,4051557.75,2506.22,690,1667,991.3,0.260,1,gain
733643.50,4051557.75,2506.22,692,1668,992.2,0.261,1,gain
733644.50,4051557.75,2506.53,693,1667,993.2,0.261,1,gain
733858.50,4051555.75,2567.00,1021,1496,1196.3,0.314,1,gain
733859.50,4051555.75,2567.67,1022,1494,1197.3,0.315,1,gain
733858.50,4051554.75,2567.24,1024,1495,1196.0,0.314,1,gain
733859.50,4051554.75,2567.80,1025,1493,1197.0,0.315,1,gain
733537.50,4051539.75,2482.72,558,1756,887.1,0.233,1,gain
733538.50,4051539.75,2482.70,560,1756,888.1,0.233,1,gain
733539.50,4051539.75,2483.66,562,1752,889.0,0.234,1,gain
733686.50,4051539.75,2524.96,843,1600,1026.4,0.270,1,gain
733539.50,4051538.75,2482.29,567,1758,888.5,0.233,1,gain
733540.50,4051538.75,2482.92,570,1755,889.5,0.234,1,gain
733538.50,4051537.75,2480.54,570,1767,887.2,0.233,1,gain
733545.50,4051537.75,2484.13,586,1750,893.6,0.235,1,gain
733546.50,4051537.75,2484.50,588,1748,894.6,0.235,1,gain
733685.50,4051537.75,2525.39,850,1598,1024.8,0.269,1,gain
733537.50,4051536.75,2479.69,573,1771,885.8,0.233,1,gain
733538.50,4051536.75,2479.92,575,1770,886.7,0.233,1,gain
733540.50,4051536.75,2481.45,580,1762,888.6,0.233,1,gain
733536.50,4051535.75,2478.64,576,1776,884.5,0.232,1,gain
733537.50,4051535.75,2478.88,578,1774,885.4,0.233,1,gain
733538.50,4051535.75,2479.13,581,1773,886.3,0.233,1,gain
733539.50,4051535.75,2480.37,583,1767,887.3,0.233,1,gain
733536.50,4051534.75,2477.84,581,1779,884.0,0.232,1,gain
733537.50,4051534.75,2478.31,583,1777,885.0,0.233,1,gain
733539.50,4051534.75,2479.98,588,1769,886.8,0.233,1,gain
733575.50,4051534.75,2494.47,664,1706,920.2,0.242,1,gain
733577.50,4051534.75,2494.73,668,1705,922.1,0.242,1,gain
733578.50,4051534.75,2495.14,670,1703,923.0,0.243,1,gain
733533.50,4051533.75,2477.33,579,1782,880.9,0.231,1,gain
733535.50,4051533.75,2477.23,584,1782,882.7,0.232,1,gain
733538.50,4051533.75,2478.40,591,1777,885.5,0.233,1,gain
733575.50,4051533.75,2494.73,669,1705,919.8,0.242,1,gain
733576.50,4051533.75,2494.96,671,1704,920.8,0.242,1,gain
733577.50,4051533.75,2494.96,673,1704,921.7,0.242,1,gain
733535.50,4051532.75,2477.23,589,1782,882.3,0.232,1,gain
733536.50,4051532.75,2477.46,591,1781,883.2,0.232,1,gain
733537.50,4051532.75,2477.90,593,1779,884.1,0.232,1,gain
733538.50,4051532.75,2478.07,596,1778,885.1,0.233,1,gain
733539.50,4051532.75,2479.02,598,1774,886.0,0.233,1,gain
733575.50,4051532.75,2494.86,674,1704,919.5,0.242,1,gain
733576.50,4051532.75,2495.04,676,1703,920.4,0.242,1,gain
733577.50,4051532.75,2495.04,678,1703,921.3,0.242,1,gain
733528.50,4051531.75,2473.94,578,1798,875.4,0.230,1,gain
733529.50,4051531.75,2474.54,581,1795,876.4,0.230,1,gain
733530.50,4051531.75,2475.24,583,1791,877.3,0.231,1,gain
733531.50,4051531.75,2475.66,585,1789,878.2,0.231,1,gain
733532.50,4051531.75,2475.66,587,1790,879.1,0.231,1,gain
733534.50,4051531.75,2476.53,592,1785,881.0,0.231,1,gain
733535.50,4051531.75,2476.72,594,1785,881.9,0.232,1,gain
733575.50,4051531.75,2494.87,679,1704,919.1,0.242,1,gain
733576.50,4051531.75,2494.87,681,1704,920.0,0.242,0,gain
733528.50,4051530.75,2473.52,583,1800,875.0,0.230,1,gain
733533.50,4051530.75,2475.60,595,1790,879.6,0.231,1,gain
733534.50,4051530.75,2475.85,597,1789,880.5,0.231,1,gain
733535.50,4051530.75,2476.06,599,1788,881.5,0.232,1,gain
733530.50,4051529.75,2474.21,593,1796,876.4,0.230,1,gain
733531.50,4051529.75,2474.72,595,1794,877.4,0.231,1,gain
733532.50,4051529.75,2474.72,598,1794,878.3,0.231,1,gain
733368.50,4051524.75,2406.50,163,2206,730.9,0.192,1,gain
733373.50,4051524.75,2410.84,180,2176,735.0,0.193,1,gain
733662.50,4051524.75,2522.67,868,1602,998.5,0.262,1,gain
733583.50,4051523.75,2498.51,732,1688,923.5,0.243,1,gain
733429.50,4051522.75,2441.21,372,1974,782.2,0.206,1,gain
733590.50,4051522.75,2500.63,751,1680,929.7,0.244,0,gain
733677.50,4051522.75,2527.26,900,1587,1012.1,0.266,1,gain
733418.50,4051521.75,2437.93,345,1995,772.1,0.203,1,gain
733428.50,4051521.75,2441.91,375,1970,780.9,0.205,1,gain
733621.50,4051521.75,2511.87,812,1637,958.6,0.252,1,gain
733623.50,4051521.75,2512.50,815,1635,960.5,0.252,1,gain
733418.50,4051520.75,2437.59,351,1997,771.6,0.203,1,gain
733616.50,4051520.75,2510.09,807,1644,953.5,0.251,1,gain
733617.50,4051520.75,2510.68,809,1641,954.5,0.251,1,gain
733625.50,4051520.75,2513.79,823,1630,962.1,0.253,1,gain
733626.50,4051520.75,2514.09,825,1629,963.0,0.253,1,gain
733419.50,4051519.75,2437.46,360,1997,772.1,0.203,1,gain
733616.50,4051519.75,2510.58,812,1642,953.2,0.250,0,gain
733625.50,4051519.75,2513.79,828,1630,961.7,0.253,1,gain
733626.50,4051519.75,2514.09,829,1629,962.6,0.253,1,gain
733628.50,4051519.75,2514.70,833,1627,964.5,0.253,1,gain
733419.50,4051518.75,2436.83,366,2001,771.6,0.203,1,gain
733420.50,4051518.75,2437.33,369,1998,772.5,0.203,1,gain
733429.50,4051518.75,2442.51,396,1966,780.4,0.205,1,gain
733627.50,4051518.75,2514.36,836,1628,963.2,0.253,1,gain
733420.50,4051517.75,2436.94,375,2000,772.1,0.203,1,gain
733426.50,4051517.75,2440.34,393,1979,777.3,0.204,1,gain
733428.50,4051517.75,2441.88,399,1970,779.1,0.205,1,gain
733429.50,4051517.75,2442.45,401,1967,780.0,0.205,1,gain
733424.50,4051516.75,2438.99,393,1987,775.1,0.204,1,gain
733425.50,4051516.75,2439.71,396,1983,776.0,0.204,1,gain
733427.50,4051516.75,2440.17,402,1980,777.8,0.204,1,gain
733431.50,4051516.75,2442.95,413,1963,781.3,0.205,1,gain
733432.50,4051516.75,2443.18,416,1962,782.2,0.206,1,gain
733429.50,4051515.75,2441.33,413,1973,779.1,0.205,1,gain
733431.50,4051515.75,2442.32,419,1967,780.9,0.205,1,gain
733429.50,4051514.75,2440.95,419,1975,778.7,0.205,1,gain
733428.50,4051513.75,2440.10,422,1980,777.4,0.204,1,gain
733436.50,4051512.75,2444.02,451,1956,784.0,0.206,1,gain
733434.50,4051511.75,2442.81,451,1963,781.8,0.205,1,gain
733435.50,4051511.75,2443.34,454,1960,782.7,0.206,1,gain
733433.50,4051510.75,2442.05,454,1967,780.5,0.205,1,gain
733434.50,4051510.75,2442.54,457,1964,781.4,0.205,1,gain
733687.50,4051504.75,2536.02,991,1555,1016.1,0.267,1,gain
733686.50,4051503.75,2535.76,993,1555,1014.8,0.267,1,gain
733660.50,4051499.75,2531.63,972,1564,988.7,0.260,1,gain
733565.50,4051498.75,2493.50,817,1708,897.3,0.236,1,gain
733656.50,4051498.75,2530.39,970,1568,984.5,0.259,1,gain
733654.50,4051497.75,2529.66,971,1570,982.2,0.258,0,gain
733648.50,4051496.75,2529.39,966,1569,976.2,0.257,1,gain
733649.50,4051496.75,2529.45,968,1569,977.2,0.257,1,gain
733648.50,4051495.75,2529.24,971,1570,975.9,0.256,1,gain
733647.50,4051494.75,2528.92,974,1571,974.6,0.256,1,gain
733665.50,4051494.75,2533.11,1001,1559,991.8,0.261,1,gain
733666.50,4051494.75,2533.07,1002,1560,992.8,0.261,0,gain
733643.50,4051493.75,2528.15,972,1573,970.4,0.255,1,gain
733644.50,4051493.75,2528.31,973,1573,971.4,0.255,1,gain
733665.50,4051493.75,2532.89,1005,1560,991.5,0.261,1,gain
733780.50,4051493.75,2560.54,1155,1492,1102.8,0.290,0,gain
733618.50,4051492.75,2522.02,937,1591,946.2,0.249,1,gain
733640.50,4051492.75,2527.62,972,1574,967.2,0.254,1,gain
733641.50,4051492.75,2527.62,973,1575,968.2,0.254,1,gain
733655.50,4051492.75,2530.76,994,1566,981.6,0.258,1,gain
733660.50,4051492.75,2532.15,1002,1562,986.4,0.259,1,gain
733780.50,4051492.75,2560.75,1159,1491,1102.5,0.290,0,gain
733781.50,4051492.75,2560.93,1160,1491,1103.5,0.290,1,gain
733618.50,4051491.75,2521.87,941,1592,945.8,0.249,1,gain
733619.50,4051491.75,2522.42,943,1590,946.8,0.249,1,gain
