blind_id,footprint_w_px,footprint_h_px,centre_x_in_tile,centre_y_in_tile
B001,23.2,9.1,149.8,150.0
B002,4.6,3.7,149.6,151.2
B003,5.7,4.3,150.0,148.4
B004,7.1,3.1,150.0,148.8
B005,5.7,4.9,149.6,149.4
B006,5.8,7.5,150.0,147.7
B007,7.5,7.1,150.1,146.7
B008,9.0,6.6,150.1,147.1
B009,4.5,2.9,149.6,151.1
B010,8.3,5.0,150.3,152.2
B011,10.3,7.7,149.9,150.9
B012,12.7,5.2,150.0,148.8
B013,10.6,7.8,150.1,152.1
B014,24.1,21.5,149.7,157.2
B015,7.2,9.4,150.2,153.0
B016,6.9,6.3,150.1,148.1
B017,6.8,1.9,149.8,149.7
B018,25.8,10.6,149.7,146.0
B019,5.9,4.0,150.3,150.3
B020,8.2,5.7,150.0,151.0
B021,7.4,8.2,150.0,145.7
B022,11.5,8.3,149.7,147.1
B023,5.9,4.3,150.3,147.9
B024,7.4,3.6,150.3,151.5
B025,14.6,6.7,149.9,147.8
B026,5.4,4.0,150.5,149.5
B027,13.0,2.2,149.5,150.0
B028,8.0,2.4,150.2,150.6
B029,13.2,5.1,150.4,149.8
B030,8.2,6.7,149.8,150.9
B031,5.7,3.5,150.3,148.8
B032,6.3,3.4,149.8,151.4
B033,9.4,4.6,149.9,148.2
B034,6.3,3.0,150.4,149.4
B035,8.2,10.2,150.3,149.5
B036,6.4,2.4,149.6,150.7
B037,5.5,2.6,149.9,149.0
B038,7.7,4.9,149.7,151.7
B039,8.3,5.7,150.1,148.2
B040,6.3,4.6,150.3,150.9
B041,8.5,1.0,150.3,149.6
B042,5.5,1.8,149.5,150.9
B043,13.2,6.7,149.7,151.1
B044,6.6,3.7,150.3,150.5
B045,8.3,4.4,149.7,151.5
B046,7.3,7.4,149.6,152.7
B047,6.2,1.5,149.6,149.3
B048,5.2,3.2,150.2,151.2
B049,6.0,3.2,149.9,150.3
B050,5.5,3.8,150.4,150.5
B051,5.9,4.3,150.0,152.1
B052,67.6,9.7,150.0,150.4
B053,5.9,4.1,149.9,151.1
B054,6.0,3.3,150.0,148.9
B055,5.8,5.9,150.2,152.6
B056,9.2,9.6,149.7,146.4
B057,6.9,5.9,150.3,148.2
B058,29.5,11.7,149.9,152.8
B059,8.3,10.3,150.5,151.9
B060,6.8,4.3,149.6,150.9
B061,8.1,3.4,149.9,150.6
B062,7.8,2.7,149.8,150.7
B063,5.4,3.8,149.8,149.6
B064,5.4,1.3,150.5,150.4
B065,8.5,3.5,150.1,149.8
B066,66.1,23.2,149.6,143.0
B067,8.3,6.3,150.3,147.1
B068,5.0,1.7,150.0,149.5
B069,14.0,4.5,149.9,148.4
B070,6.8,2.4,149.6,148.8
B071,7.1,3.3,149.6,149.3
B072,11.8,6.3,150.2,147.7
B073,12.8,18.0,150.2,143.6
B074,5.4,3.0,149.8,149.3
B075,5.3,2.6,150.3,149.1
B076,5.8,3.1,149.9,150.5
B077,6.2,4.3,150.0,148.7
B078,5.5,0.9,150.4,150.2
B079,5.2,4.1,150.0,149.2
B080,4.6,9.8,150.4,147.1
B081,16.3,1.1,149.6,150.1
B082,13.2,4.2,149.7,151.3
B083,5.9,3.3,150.4,148.8
B084,7.7,3.4,150.3,151.0
B085,4.5,5.8,149.6,147.9
B086,5.4,3.3,150.0,149.6
B087,9.0,9.7,150.5,151.3
B088,8.8,2.7,149.7,149.8
B089,5.7,4.8,150.3,152.1
B090,7.3,4.9,150.2,151.2
B091,7.1,2.8,150.2,150.6
B092,14.6,7.2,150.2,153.0
B093,9.5,8.1,150.3,153.3
B094,8.6,7.0,150.0,151.2
B095,10.3,7.4,150.4,151.8
B096,7.3,2.5,150.5,148.9
B097,13.7,10.8,150.0,153.4
B098,6.7,4.1,149.5,148.2
B099,12.3,9.9,150.2,146.1
B100,6.0,7.7,149.7,147.2
B101,6.0,4.8,150.1,147.9
B102,6.1,2.0,149.9,149.8
B103,7.6,4.7,149.8,150.0
B104,20.4,7.9,150.1,149.6
B105,7.7,3.3,149.7,150.5
B106,5.6,3.5,149.5,148.4
B107,5.9,0.8,150.1,149.9
B108,11.6,4.8,150.3,149.9
B109,14.3,1.2,149.8,150.2
B110,6.8,3.4,150.1,150.4
B111,6.6,4.0,149.6,151.4
B112,5.7,3.2,150.0,148.9
B113,8.2,2.4,149.6,149.4
B114,10.2,9.3,149.5,146.8
B115,6.3,10.3,150.3,147.9
B116,7.8,4.4,149.7,148.4
B117,5.8,2.7,150.3,149.1
B118,8.3,5.4,150.0,148.4
B119,4.4,2.8,150.0,151.0
B120,7.3,0.7,150.5,150.1
B121,6.5,4.7,149.7,148.9
B122,6.0,2.4,149.6,148.7
B123,8.4,5.0,149.6,151.1
B124,10.4,7.2,150.2,151.2
B125,13.0,6.1,149.6,147.8
B126,12.9,5.9,149.8,147.4
B127,11.0,4.8,149.7,151.0
B128,11.0,9.1,149.6,152.7
B129,5.8,3.6,149.9,152.1
