blind_id,blind_image,dist,m_per_px_horiz,m2_per_px,align_shift_px,quality_ok,verdict,confidence,notes
B001,blind/B001.png,260.555,0.068,nan,1.000,yes,boundary_jitter,high,
B002,blind/B002.png,859.253,0.224,0.125,0.000,yes,canopy_overgrowth,high,
B003,blind/B003.png,689.004,0.180,nan,0.000,yes,canopy_overgrowth,medium,
B004,blind/B004.png,826.495,0.215,nan,1.000,yes,canopy_overgrowth,low,
B005,blind/B005.png,686.924,0.179,nan,0.000,yes,boundary_jitter,low,
B006,blind/B006.png,679.894,0.177,0.250,1.000,yes,boundary_jitter,low,
B007,blind/B007.png,735.222,0.192,nan,1.000,yes,boundary_jitter,medium,
B008,blind/B008.png,593.651,0.155,nan,0.000,yes,boundary_jitter,medium,
B009,blind/B009.png,897.082,0.234,0.250,0.000,yes,boundary_jitter,low,
B010,blind/B010.png,867.377,0.226,0.312,0.000,yes,boundary_jitter,high,
B011,blind/B011.png,509.666,0.133,0.125,0.000,yes,canopy_overgrowth,low,
B012,blind/B012.png,409.484,0.107,0.062,1.000,yes,boundary_jitter,low,
B013,blind/B013.png,482.256,0.126,nan,1.000,yes,boundary_jitter,medium,
B014,blind/B014.png,202.056,0.053,nan,1.414,yes,canopy_overgrowth,high,
B015,blind/B015.png,548.674,0.143,nan,1.000,yes,boundary_jitter,high,
B016,blind/B016.png,639.779,0.167,nan,0.000,yes,boundary_jitter,high,
B017,blind/B017.png,751.473,0.196,0.312,0.000,yes,boundary_jitter,high,
B018,blind/B018.png,257.500,0.067,nan,1.000,yes,boundary_jitter,high,
B019,blind/B019.png,669.936,0.175,0.062,1.000,yes,boundary_jitter,high,
B020,blind/B020.png,606.276,0.158,nan,1.000,yes,boundary_jitter,high,
B021,blind/B021.png,536.180,0.140,nan,1.000,yes,sasa_loss,medium,
B022,blind/B022.png,413.277,0.108,0.125,1.414,yes,boundary_jitter,high,
B023,blind/B023.png,755.042,0.197,nan,1.414,yes,boundary_jitter,low,
