blind_id,sample_id,stratum,cls2012,cls2021,x,y,z,row,col,u,v,annotated_figure,native_crop
B001,loss_to_otherveg_21,loss_to_otherveg,1,2,732956.5,4051044.75,2439.989990234375,1024,212,4488.82019397735,2170.7390088639995,crops/loss_to_otherveg_21.png,crops_native/loss_to_otherveg_21_native.png
B002,loss_to_dwarfpine_35,loss_to_dwarfpine,1,7,733588.5,4051198.75,2554.929931640625,870,844,2247.6381733490957,1438.1740963825414,crops/loss_to_dwarfpine_35.png,crops_native/loss_to_dwarfpine_35_native.png
B003,loss_to_dwarfpine_06,loss_to_dwarfpine,1,7,733423.5,4051164.75,2471.18994140625,904,679,2418.05391195517,1801.9711483411888,crops/loss_to_dwarfpine_06.png,crops_native/loss_to_dwarfpine_06_native.png
B004,loss_to_otherveg_13,loss_to_otherveg,1,2,733507.5,4051472.75,2479.300048828125,596,763,848.9749167927519,1772.7953722211946,crops/loss_to_otherveg_13.png,crops_native/loss_to_otherveg_13_native.png
B005,control_stable_sasa_10,control_stable_sasa,1,1,733421.5,4051167.75,2469.93994140625,901,677,2401.6178584007175,1808.7916919301351,crops/control_stable_sasa_10.png,crops_native/control_stable_sasa_10_native.png
B006,loss_to_rowan_01,loss_to_rowan,1,4,733414.5,4051194.75,2462.580078125,874,670,2249.9853109489704,1850.2193976890794,crops/loss_to_rowan_01.png,crops_native/loss_to_rowan_01_native.png
B007,loss_to_dwarfpine_12,loss_to_dwarfpine,1,7,733397.5,4050865.75,2509.090087890625,1203,653,4042.1706156526398,1593.1331523467056,crops/loss_to_dwarfpine_12.png,crops_native/loss_to_dwarfpine_12_native.png
B008,gain_dwarfpine_to_sasa_10,gain_dwarfpine_to_sasa,7,1,733301.5,4051350.75,2413.090087890625,718,557,1162.1340677400149,2192.6750320598308,crops/gain_dwarfpine_to_sasa_10.png,crops_native/gain_dwarfpine_to_sasa_10_native.png
B009,control_stable_dwarfpine_10,control_stable_dwarfpine,7,7,733623.5,4051205.75,2578.8701171875,863,879,2220.6260805848283,1351.6292980034186,crops/control_stable_dwarfpine_10.png,crops_native/control_stable_dwarfpine_10_native.png
B010,control_stable_dwarfpine_13,control_stable_dwarfpine,7,7,733394.5,4050629.75,2578.22998046875,1439,650,5179.252042067919,1247.490728590702,crops/control_stable_dwarfpine_13.png,crops_native/control_stable_dwarfpine_13_native.png
B011,loss_to_dwarfpine_28,loss_to_dwarfpine,1,7,733202.5,4050978.75,2439.27001953125,1090,458,3896.9226628045303,2017.420826328859,crops/loss_to_dwarfpine_28.png,crops_native/loss_to_dwarfpine_28_native.png
B012,control_stable_dwarfpine_14,control_stable_dwarfpine,7,7,733112.5,4051023.75,2436.6201171875,1045,368,3841.0293392836356,2080.447072812748,crops/control_stable_dwarfpine_14.png,crops_native/control_stable_dwarfpine_14_native.png
B013,loss_to_otherveg_19,loss_to_otherveg,1,2,733198.5,4051297.75,2398.580078125,771,454,1352.062674269123,2383.526647165514,crops/loss_to_otherveg_19.png,crops_native/loss_to_otherveg_19_native.png
B014,control_stable_sasa_20,control_stable_sasa,1,1,732924.5,4051123.75,2418.919921875,945,180,3436.6715672602795,2646.662671407329,crops/control_stable_sasa_20.png,crops_native/control_stable_sasa_20_native.png
B015,control_stable_sasa_05,control_stable_sasa,1,1,733280.5,4051190.75,2403.68994140625,878,536,2261.218178841113,2260.080553541602,crops/control_stable_sasa_05.png,crops_native/control_stable_sasa_05_native.png
B016,loss_to_maple_02,loss_to_maple,1,5,733369.5,4051258.75,2443.2099609375,810,625,1854.1563364634767,1968.7633263207658,crops/loss_to_maple_02.png,crops_native/loss_to_maple_02_native.png
B017,control_stable_sasa_16,control_stable_sasa,1,1,733432.5,4050907.75,2519.929931640625,1161,688,3757.8177967349334,1547.4771281953965,crops/control_stable_sasa_16.png,crops_native/control_stable_sasa_16_native.png
B018,loss_to_dwarfpine_25,loss_to_dwarfpine,1,7,732942.5,4051028.75,2444.669921875,1040,198,4860.665851580855,2111.989229750295,crops/loss_to_dwarfpine_25.png,crops_native/loss_to_dwarfpine_25_native.png
B019,loss_to_dwarfpine_08,loss_to_dwarfpine,1,7,733404.5,4051196.75,2460.1298828125,872,660,2237.321952133851,1864.0779936689764,crops/loss_to_dwarfpine_08.png,crops_native/loss_to_dwarfpine_08_native.png
