year,model,class_en,class_ja,n_labelled_pixels,precision,recall,f1
2012,"CNN-LSTM 5x5 (50 epochs, surviving run)",Dwarf bamboo (Sasa spp.),ササ,38396,0.967 (0.006),0.953 (0.005),0.960 (0.002)
2012,"CNN-LSTM 5x5 (50 epochs, surviving run)",Dwarf pine (Pinus pumila),ハイマツ,109375,0.972 (0.003),0.972 (0.002),0.972 (0.002)
2012,"CNN-LSTM 5x5 (50 epochs, surviving run)",Rowan (Sorbus spp.),ナナカマド,29282,0.972 (0.004),0.976 (0.005),0.974 (0.002)
2012,"CNN-LSTM 5x5 (50 epochs, surviving run)",Erman's birch (Betula ermanii),ダケカンバ,12758,0.971 (0.013),0.935 (0.018),0.953 (0.007)
2012,"CNN-LSTM 5x5 (50 epochs, surviving run)",Montane alder (Alnus alnobetula ssp. maximowiczii),ミヤマハンノキ,48130,0.984 (0.005),0.970 (0.011),0.977 (0.004)
2012,"CNN-LSTM 5x5 (50 epochs, surviving run)",Other vegetation,その他植生,339439,0.988 (0.002),0.993 (0.001),0.990 (0.001)
2012,"CNN-LSTM 5x5 (50 epochs, surviving run)",Non-vegetated,無植生,40632,0.979 (0.004),0.975 (0.004),0.977 (0.002)
2012,"CNN-LSTM 5x5 (50 epochs, surviving run)",Macro average,macro avg,618012,0.976 (0.002),0.968 (0.003),0.972 (0.002)
2012,"CNN-LSTM 5x5 (50 epochs, surviving run)",Weighted average,weighted avg,618012,0.982 (0.001),0.982 (0.002),0.982 (0.002)
2021,"CNN-LSTM 5x5 (50 epochs, surviving run)",Dwarf bamboo (Sasa spp.),ササ,38396,0.958 (0.005),0.952 (0.008),0.955 (0.002)
2021,"CNN-LSTM 5x5 (50 epochs, surviving run)",Dwarf pine (Pinus pumila),ハイマツ,109375,0.963 (0.005),0.972 (0.005),0.968 (0.001)
2021,"CNN-LSTM 5x5 (50 epochs, surviving run)",Rowan (Sorbus spp.),ナナカマド,29282,0.945 (0.007),0.938 (0.012),0.941 (0.006)
2021,"CNN-LSTM 5x5 (50 epochs, surviving run)",Erman's birch (Betula ermanii),ダケカンバ,12758,0.947 (0.018),0.896 (0.014),0.921 (0.007)
2021,"CNN-LSTM 5x5 (50 epochs, surviving run)",Montane alder (Alnus alnobetula ssp. maximowiczii),ミヤマハンノキ,48130,0.963 (0.006),0.947 (0.007),0.955 (0.004)
2021,"CNN-LSTM 5x5 (50 epochs, surviving run)",Other vegetation,その他植生,339439,0.987 (0.001),0.989 (0.001),0.988 (0.001)
2021,"CNN-LSTM 5x5 (50 epochs, surviving run)",Non-vegetated,無植生,40632,0.968 (0.012),0.974 (0.009),0.971 (0.004)
2021,"CNN-LSTM 5x5 (50 epochs, surviving run)",Macro average,macro avg,618012,0.962 (0.002),0.953 (0.004),0.957 (0.001)
2021,"CNN-LSTM 5x5 (50 epochs, surviving run)",Weighted average,weighted avg,618012,0.975 (0.001),0.975 (0.001),0.975 (0.001)
