variant,class_ja,class_en,support_total,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,pooled_precision,pooled_recall,pooled_f1
2012,ササ,Dwarf bamboo (Sasa spp.),32094,0.895603,0.113968,0.894622,0.121040,0.895058,0.117294,0.896298,0.894622,0.895459
2012,その他植生,Other vegetation,286869,0.984760,0.004264,0.960721,0.062967,0.971702,0.033561,0.984718,0.960721,0.972572
2012,無植生,Non-vegetated,30150,0.956451,0.075883,0.987098,0.015382,0.969962,0.038720,0.950588,0.987098,0.968499
2012,ナナカマド,Rowan (Sorbus spp.),26335,0.962475,0.018093,0.942776,0.037349,0.952131,0.020045,0.962139,0.942776,0.952359
2012,ミネカエデ,Maple (Acer tschonoskii),12758,0.829532,0.127833,0.874343,0.072543,0.841942,0.049627,0.802807,0.874353,0.837054
2012,ミヤマハンノキ,Montane alder (Alnus alnobetula ssp. maximowiczii),48130,0.940943,0.043816,0.971161,0.018407,0.955403,0.026439,0.939424,0.971161,0.955029
2012,ハイマツ,Dwarf pine (Pinus pumila),81191,0.920773,0.098447,0.952802,0.028580,0.934370,0.059598,0.911704,0.952803,0.931800
2012,macro avg,Macro average,517527,0.927220,0.061403,0.940503,0.015786,0.931510,0.041793,,,
2012,weighted avg,Weighted average,517527,0.958508,0.032189,0.954845,0.040119,0.955280,0.038913,,,
2012_5x5,ササ,Dwarf bamboo (Sasa spp.),38396,0.967134,0.005983,0.953433,0.005352,0.960211,0.001988,0.967084,0.953433,0.960210
2012_5x5,その他植生,Other vegetation,339439,0.987871,0.002278,0.992714,0.001306,0.990285,0.001094,0.987866,0.992714,0.990284
2012_5x5,無植生,Non-vegetated,40632,0.978661,0.004481,0.975044,0.004293,0.976836,0.001586,0.978633,0.975044,0.976835
2012_5x5,ナナカマド,Rowan (Sorbus spp.),29282,0.972327,0.003799,0.975924,0.004784,0.974109,0.001791,0.972304,0.975924,0.974111
2012_5x5,ミネカエデ,Maple (Acer tschonoskii),12758,0.970821,0.012789,0.935176,0.017537,0.952500,0.006658,0.970552,0.935178,0.952537
2012_5x5,ミヤマハンノキ,Montane alder (Alnus alnobetula ssp. maximowiczii),48130,0.983849,0.004733,0.970247,0.010682,0.976957,0.004019,0.983799,0.970247,0.976976
2012_5x5,ハイマツ,Dwarf pine (Pinus pumila),109375,0.971929,0.002608,0.972315,0.001544,0.972121,0.001667,0.971924,0.972315,0.972120
2012_5x5,macro avg,Macro average,618012,0.976085,0.002054,0.967836,0.003491,0.971860,0.002367,,,
2012_5x5,weighted avg,Weighted average,618012,0.981754,0.001499,0.981769,0.001502,0.981733,0.001512,,,
2012_composite,ササ,Dwarf bamboo (Sasa spp.),32094,0.950733,0.006613,0.946158,0.007466,0.948401,0.002033,0.950661,0.946158,0.948404
2012_composite,その他植生,Other vegetation,286869,0.983926,0.002235,0.993928,0.000933,0.988901,0.001311,0.983923,0.993928,0.988900
2012_composite,無植生,Non-vegetated,30150,0.988209,0.004844,0.987861,0.002741,0.988028,0.002609,0.988188,0.987861,0.988025
2012_composite,ナナカマド,Rowan (Sorbus spp.),26335,0.980857,0.003207,0.950978,0.001896,0.965683,0.001713,0.980848,0.950978,0.965682
2012_composite,ミネカエデ,Maple (Acer tschonoskii),12758,0.962621,0.007959,0.912917,0.015854,0.937037,0.009016,0.962562,0.912917,0.937083
2012_composite,ミヤマハンノキ,Montane alder (Alnus alnobetula ssp. maximowiczii),48130,0.978860,0.003082,0.980075,0.001630,0.979466,0.002041,0.978855,0.980075,0.979464
2012_composite,ハイマツ,Dwarf pine (Pinus pumila),81191,0.975675,0.003483,0.959367,0.006173,0.967435,0.001854,0.975650,0.959367,0.967440
2012_composite,macro avg,Macro average,517527,0.974412,0.001714,0.961612,0.002418,0.967850,0.001729,,,
2012_composite,weighted avg,Weighted average,517527,0.979670,0.001268,0.979719,0.001265,0.979633,0.001279,,,
2012_composite_5x5,ササ,Dwarf bamboo (Sasa spp.),43645,0.965555,0.007585,0.967007,0.008733,0.966239,0.004123,0.965480,0.967007,0.966243
2012_composite_5x5,その他植生,Other vegetation,308884,0.992485,0.001693,0.994454,0.001427,0.993467,0.000418,0.992481,0.994454,0.993467
2012_composite_5x5,無植生,Non-vegetated,33762,0.987401,0.003139,0.986079,0.003218,0.986736,0.002453,0.987395,0.986079,0.986737
2012_composite_5x5,ナナカマド,Rowan (Sorbus spp.),29282,0.981801,0.003481,0.978451,0.007586,0.980098,0.002111,0.981770,0.978451,0.980108
2012_composite_5x5,ミネカエデ,Maple (Acer tschonoskii),12758,0.972587,0.016405,0.960651,0.012575,0.966431,0.005535,0.972235,0.960652,0.966409
2012_composite_5x5,ミヤマハンノキ,Montane alder (Alnus alnobetula ssp. maximowiczii),48130,0.991025,0.002445,0.985581,0.004042,0.988289,0.001865,0.991017,0.985581,0.988291
2012_composite_5x5,ハイマツ,Dwarf pine (Pinus pumila),113414,0.982634,0.007153,0.981510,0.003456,0.982051,0.002458,0.982576,0.981510,0.982043
2012_composite_5x5,macro avg,Macro average,589875,0.981927,0.003029,0.979105,0.002111,0.980473,0.001330,,,
2012_composite_5x5,weighted avg,Weighted average,589875,0.987228,0.000766,0.987206,0.000795,0.987201,0.000783,,,
2012_normalized,ササ,Dwarf bamboo (Sasa spp.),32094,0.911981,0.028829,0.911790,0.015690,0.911640,0.016150,0.911223,0.911790,0.911506
2012_normalized,その他植生,Other vegetation,286869,0.970695,0.010890,0.987862,0.002369,0.979173,0.005128,0.970587,0.987862,0.979148
2012_normalized,無植生,Non-vegetated,30150,0.970978,0.003534,0.979502,0.010300,0.975198,0.005425,0.970968,0.979502,0.975217
2012_normalized,ナナカマド,Rowan (Sorbus spp.),26335,0.969117,0.007836,0.951851,0.005037,0.960373,0.001778,0.969035,0.951851,0.960366
2012_normalized,ミネカエデ,Maple (Acer tschonoskii),12758,0.728853,0.408257,0.676620,0.378578,0.701420,0.392172,0.909973,0.676595,0.776119
2012_normalized,ミヤマハンノキ,Montane alder (Alnus alnobetula ssp. maximowiczii),48130,0.953899,0.020070,0.947704,0.022282,0.950488,0.009935,0.953329,0.947704,0.950508
2012_normalized,ハイマツ,Dwarf pine (Pinus pumila),81191,0.955538,0.007425,0.939402,0.010206,0.947372,0.006778,0.955502,0.939402,0.947383
2012_normalized,macro avg,Macro average,517527,0.923009,0.061977,0.913533,0.050462,0.917952,0.056009,,,
2012_normalized,weighted avg,Weighted average,517527,0.957088,0.017062,0.961815,0.006818,0.959292,0.011957,,,
2015,ササ,Dwarf bamboo (Sasa spp.),32094,0.931149,0.052160,0.931826,0.073010,0.929672,0.046984,0.928671,0.931825,0.930246
2015,その他植生,Other vegetation,286869,0.983034,0.009306,0.978021,0.020917,0.980373,0.009259,0.982883,0.978021,0.980446
2015,無植生,Non-vegetated,30150,0.964300,0.066984,0.976949,0.028092,0.969308,0.036308,0.959947,0.976949,0.968373
2015,ナナカマド,Rowan (Sorbus spp.),26335,0.954703,0.045899,0.935903,0.079425,0.942379,0.035892,0.951034,0.935903,0.943408
2015,ミネカエデ,Maple (Acer tschonoskii),12758,0.902036,0.083179,0.885084,0.095967,0.889951,0.068743,0.895835,0.885092,0.890431
2015,ミヤマハンノキ,Montane alder (Alnus alnobetula ssp. maximowiczii),48130,0.972014,0.027039,0.952649,0.021775,0.961874,0.013235,0.971173,0.952649,0.961822
