variant,n_labelled_px,pooled_overall_accuracy,cohens_kappa,OA_per_fold_mean,OA_per_fold_sd
2012,517527,0.954845,0.931062,0.954845,0.040119
2012_5x5,618012,0.981769,0.971899,0.981769,0.001502
2012_composite,517527,0.979719,0.968627,0.979719,0.001265
2012_composite_5x5,589875,0.987206,0.980905,0.987206,0.000795
2012_normalized,517527,0.961815,0.940725,0.961815,0.006818
2015,517527,0.967078,0.949352,0.967078,0.014556
2015_normalized,517527,0.962906,0.942419,0.962906,0.008452
2021,517527,0.938678,0.905629,0.938678,0.023930
2021_5x5,618012,0.975015,0.961523,0.975015,0.000572
2021_composite,517527,0.975903,0.962768,0.975903,0.001490
2021_composite_5x5,589875,0.982211,0.973433,0.982211,0.000524
2021_normalized,517527,0.943506,0.911821,0.943506,0.006599
