polygon_id,source_json,photo_year,classIndex,label_ja,n_vertices,px_surviving
1,IMG_8298.json,2021,7,ハイマツ,15,4508
2,IMG_8298.json,2021,7,ハイマツ,17,2924
3,IMG_8298.json,2021,7,ハイマツ,16,3378
4,IMG_8298.json,2021,7,ハイマツ,18,3154
5,IMG_8298.json,2021,1,ササ,10,430
6,IMG_8298.json,2021,1,ササ,13,145
7,IMG_8298.json,2021,1,ササ,12,305
8,IMG_8298.json,2021,1,ササ,18,589
9,IMG_8298.json,2021,1,ササ,15,710
10,IMG_8298.json,2021,2,その他植生,13,2222
11,IMG_8298.json,2021,2,その他植生,19,16565
12,IMG_8298.json,2021,2,その他植生,12,1757
13,IMG_8298.json,2021,7,ハイマツ,20,891
14,IMG_8298.json,2021,1,ササ,13,324
15,IMG_8298.json,2021,7,ハイマツ,30,845
16,IMG_8298.json,2021,7,ハイマツ,9,203
17,IMG_8298.json,2021,2,その他植生,19,817
18,IMG_8298.json,2021,7,ハイマツ,9,689
19,IMG_8298.json,2021,7,ハイマツ,21,2786
20,IMG_8298.json,2021,3,無植生,18,559
21,IMG_8298.json,2021,3,無植生,16,793
22,IMG_8298.json,2021,2,その他植生,13,654
23,IMG_8298.json,2021,7,ハイマツ,42,1930
24,IMG_8298.json,2021,7,ハイマツ,32,978
25,IMG_8298.json,2021,3,無植生,7,733
26,IMG_8298.json,2021,3,無植生,15,709
27,IMG_8298.json,2021,3,無植生,8,818
28,IMG_8298.json,2021,2,その他植生,44,8100
29,IMG_8298.json,2021,2,その他植生,48,7808
30,IMG_8298.json,2021,3,無植生,6,178
31,IMG_8298.json,2021,3,無植生,16,639
32,IMG_8298.json,2021,3,無植生,18,781
33,IMG_8298.json,2021,3,無植生,14,395
34,IMG_8298.json,2021,3,無植生,18,1111
35,IMG_8298.json,2021,7,ハイマツ,26,120
36,IMG_8298.json,2021,7,ハイマツ,10,88
37,IMG_8298.json,2021,7,ハイマツ,7,55
38,IMG_8298.json,2021,2,その他植生,21,1495
39,IMG_8298.json,2021,2,その他植生,16,1076
40,IMG_8298.json,2021,3,無植生,12,301
41,IMG_8298.json,2021,3,無植生,20,1044
42,IMG_8298.json,2021,2,その他植生,48,1753
43,IMG_8298.json,2021,2,その他植生,37,578
44,IMG_8298.json,2021,2,その他植生,13,165
45,IMG_8298.json,2021,2,その他植生,17,431
46,IMG_8298.json,2021,2,その他植生,22,1703
