variant,csv,n_px_compared,agree_pct
2012,2012,8334397,88.8308
2012,2021,963584,89.8064
2012_5x5,2012,8334397,93.7825
2012_5x5,2021,963584,93.5336
2012_composite,2012,8334397,85.4611
2012_composite,2021,963584,87.7667
2012_composite_5x5,2012,8334397,87.8009
2012_composite_5x5,2021,963584,89.8275
2012_normalized,2012,8334397,85.6616
2012_normalized,2021,963584,84.3392
2015,2012,8334397,87.5591
2015,2021,963584,92.2443
2015_normalized,2012,8334397,82.2699
2015_normalized,2021,963584,85.7025
2021,2012,8334397,84.8686
2021,2021,963584,93.8573
2021_5x5,2012,8334397,88.146
2021_5x5,2021,963584,95.3784
2021_composite,2012,8334397,82.0623
2021_composite,2021,963584,89.6757
2021_composite_5x5,2012,8334397,85.3557
2021_composite_5x5,2021,963584,89.2471
2021_normalized,2012,8334397,80.3988
2021_normalized,2021,963584,83.5548
