"cluster_id","n_cells","area_m2","x_centroid","y_centroid","dist_min","dist_mean","dist_max","pct_pine_11x11_2012","pct_sasa_11x11_2012","pct_pine_11x11_2021","pct_sasa_11x11_2021"
4,4,4,732813.75,4051114.25,21.1,21.69,22.2,0,37.2,5,38
8,4,4,732935,4051018,9,9.81,11.18,0,23,7,17
3,2,2,733079.5,4051140.25,6.4,6.74,7.07,0.8,2.5,9.9,1.7
9,2,2,733492,4051009.25,5.66,5.66,5.66,5,43,14,50.4
10,2,2,732992,4050975.75,5.39,5.61,5.83,1.5,43.3,11.9,38.8
1,1,1,733397.5,4051383.75,5.39,5.39,5.39,1.7,0.8,1.7,0.8
2,1,1,733197.5,4051318.75,7.28,7.28,7.28,0,5,0.8,0.8
5,1,1,732811.5,4051112.75,23.54,23.54,23.54,0,35.5,4.1,34.7
6,1,1,732883.5,4051041.75,12.37,12.37,12.37,0,1.7,1.7,4.1
7,1,1,732933.5,4051021.75,6,6,6,0,43.8,5.8,33.9
