"section","model","scope","fold","n","auc","tss","threshold"
"blocked_metrics","baseline","fold",1,255524,0.964198350891225,0.801149383833767,0.00326962731745363
"blocked_metrics","baseline","fold",2,309386,0.909075291685475,0.677588653628247,0.00548473207909608
"blocked_metrics","baseline","fold",3,289373,0.95973238402128,0.821906080231738,0.00273495597197038
"blocked_metrics","baseline","fold",4,343233,0.957886369196263,0.774978188952548,0.00259434568121395
"blocked_metrics","baseline","mean",,1197516,0.947723098948561,0.768905576661575,
"blocked_metrics","baseline","pooled",,1197516,0.946121298051228,0.75153555006348,0.00396644443975647
"blocked_metrics","trend","fold",1,255524,0.963585263711656,0.80317237676741,0.00346789111765334
"blocked_metrics","trend","fold",2,309386,0.908374841903689,0.677916204947363,0.00724275356032619
"blocked_metrics","trend","fold",3,289373,0.959499521114054,0.822346548492589,0.00326184275789235
"blocked_metrics","trend","fold",4,343233,0.957427858887533,0.775132901286747,0.00281363704065509
"blocked_metrics","trend","mean",,1197516,0.947221871404233,0.769642007873527,
"blocked_metrics","trend","pooled",,1197516,0.94561905140234,0.750818636066005,0.00346758627410078
"delta","trend_minus_baseline","fold",1,255524,-0.00061308717956976,0.00202299293364283,
"delta","trend_minus_baseline","fold",2,309386,-0.00070044978178585,0.000327551319116104,
"delta","trend_minus_baseline","fold",3,289373,-0.000232862907226128,0.000440468260850313,
"delta","trend_minus_baseline","fold",4,343233,-0.000458510308730675,0.000154712334199614,
"delta","trend_minus_baseline","mean",,1197516,-0.000501227544328131,0.000736431211952215,
"delta","trend_minus_baseline","pooled",,1197516,-0.000502246648888649,-0.000716913997474755,
