"term","model","edf","Ref.df","Chi.sq","p-value"
"s(log1p_dist12)","baseline",3.94853662711049,3.99765374886708,6096.6947044211,0
"s(snow_mean)","baseline",6.96377402831378,7.67637477002671,868.08948716653,0
"s(elevation)","baseline",5.85321198541904,6.06443270392894,118.491037393691,0
"s(slope)","baseline",6.4976396337947,7.06233260243427,219.452788548855,0
"s(TPI)","baseline",1.00027515494447,1.00054825577259,26.7103183768911,5.12832921961692e-07
"s(twi)","baseline",8.79406762659848,8.97315137725568,167.631363949974,0
"s(northness)","baseline",7.87412363994817,8.64465388200271,194.382306617412,0
"s(eastness)","baseline",6.119710691549,7.24316280311866,54.3273587215615,0
"s(log1p_dist12)","trend",3.9478487475555,3.99758764749486,6061.14725571768,0
"s(snow_mean)","trend",7.04982480265665,7.74278276279707,874.90165861927,0
"s(elevation)","trend",5.84895172378791,6.06004188336745,119.859831911316,0
"s(slope)","trend",6.48235131690625,7.05153287289467,218.803170723882,0
"s(TPI)","trend",1.00048091623737,1.00095825211425,28.0397565828991,-1.00076896436541e-07
"s(twi)","trend",8.79790918891145,8.97404642881265,172.18262611894,0
"s(northness)","trend",7.87739582433149,8.64593504482273,189.963551703734,0
"s(eastness)","trend",6.08205712128946,7.20844151401345,51.8581394630104,0
"s(trend)","trend",3.15250906608553,3.79254298830658,12.1411838605443,0.0108063578944331
