"elevation_bin_m","n_cells","trend_mean","trend_sd","trend_median","well_sampled"
"[2.35e+03,2.4e+03)",49747,-0.855796523788138,0.624771662945768,-0.740259766578674,TRUE
"[2.4e+03,2.45e+03)",99118,-0.675831863599538,0.557453391169823,-0.57342654466629,TRUE
"[2.45e+03,2.5e+03)",109158,-0.64049771436718,0.572082530696383,-0.562437534332275,TRUE
"[2.5e+03,2.55e+03)",122912,-0.823516161387307,0.727573830007104,-0.689310669898987,TRUE
"[2.55e+03,2.6e+03)",133391,-0.689241876082642,0.60720113706164,-0.56143856048584,TRUE
"[2.6e+03,2.65e+03)",130046,-0.760728536500064,0.576285144556256,-0.665334641933441,TRUE
"[2.65e+03,2.7e+03)",117086,-0.801707138739039,0.694406675785141,-0.700299680233002,TRUE
"[2.7e+03,2.75e+03)",97434,-0.756429979556086,0.66317167922413,-0.682317674160004,TRUE
"[2.75e+03,2.8e+03)",94868,-0.652511873370796,0.659693560717832,-0.588411569595337,TRUE
"[2.8e+03,2.85e+03)",91992,-0.534848113039799,0.598032090099399,-0.471528470516205,TRUE
"[2.85e+03,2.9e+03)",59283,-0.619719412732326,0.599550882391374,-0.597402572631836,TRUE
"[2.9e+03,2.95e+03)",56529,-0.801536590799604,0.568143257768134,-0.790209770202637,TRUE
"[2.95e+03,3e+03)",44219,-0.667898086776422,0.668464922148078,-0.694305717945099,TRUE
"[3e+03,3.05e+03]",280,-0.260400313705239,0.867571570214558,-0.615884125232697,FALSE
